Airfield.json
Airfield.Clothes.Feet.CombatBoots,Uncommon,Uncommon,Uncommon,Rare
Airfield.Clothes.Feet.MilitaryBoots_JNA,Uncommon,Uncommon,Uncommon,VeryRare
Airfield.Clothes.Feet.MilitaryBoots_Peace,Uncommon,Uncommon,Uncommon,VeryRare
Airfield.Clothes.Head.Pilot_Glasses,Uncommon,Uncommon,Uncommon,Common
Airfield.Clothes.Head.Pilot_Hat_01,Uncommon,Uncommon,Uncommon,Common
Airfield.Clothes.Parachute,Uncommon,Uncommon,Uncommon
Airfield.Clothes.Torso.Pilot_Jacket,Uncommon,Uncommon,Uncommon,Rare
Airfield.Medical.ActivatedCharcoal_01,Uncommon,VeryRare,Rare
Airfield.Medical.Emergency_bandage,Uncommon,VeryRare,Rare
Airfield.Medical.Hemostatic_Dressing,Uncommon,VeryRare,VeryRare
Airfield.Medical.Painkillers_01,Uncommon,VeryRare,Rare
Airfield.Medical.Pressure_Dressing,Uncommon,VeryRare,VeryRare
Airfield.Medical.Tourniquet,Uncommon,VeryRare,VeryRare
Airfield.Medical.Vitamins_01,Uncommon,VeryRare,Rare
Airfield.Misc.Batteries,Uncommon,Uncommon,Rare
Airfield.Misc.Bobby_Pin_Pacage,Uncommon,Uncommon,Uncommon
Airfield.Misc.BoomBox_01,Uncommon,Uncommon,VeryRare
Airfield.Misc.CD_Player,Uncommon,Uncommon,Uncommon
Airfield.Misc.Cigarettes.Cigarettes,Uncommon,Uncommon,Uncommon,Uncommon
Airfield.Misc.Diary,Uncommon,Uncommon,Rare
Airfield.Misc.Duct_Tape,Uncommon,Uncommon,Rare
Airfield.Misc.EmptyBag,Uncommon,Uncommon,Rare
Airfield.Misc.Glue.Glue,Uncommon,Uncommon,Uncommon,Uncommon
Airfield.Misc.Lighter,Uncommon,Uncommon,Rare
Airfield.Misc.Lockpick_Advanced_Item,Uncommon,Uncommon,VeryRare
Airfield.Misc.Lockpick_Item,Uncommon,Uncommon,Rare
Airfield.Misc.Magnifying_Glass1,Uncommon,Uncommon,VeryRare
Airfield.Misc.Matches,Uncommon,Uncommon,Rare
Airfield.Misc.Mobile_Phone,Uncommon,Uncommon,Rare
Airfield.Misc.Needle,Uncommon,Uncommon,VeryRare
Airfield.Misc.Padlock,Uncommon,Uncommon,Uncommon
Airfield.Misc.Paper,Uncommon,Uncommon,Uncommon
Airfield.Misc.Pen,Uncommon,Uncommon,Rare
Airfield.Misc.Radio,Uncommon,Uncommon,VeryRare
Airfield.Misc.Rag_Stripes,Uncommon,Uncommon,Uncommon
Airfield.Misc.Rags,Uncommon,Uncommon,Uncommon
Airfield.Misc.Rope1,Uncommon,Uncommon,Rare
Airfield.Misc.Safety_pin,Uncommon,Uncommon,Uncommon
Airfield.Misc.Screwdriver,Uncommon,Uncommon,VeryRare
Airfield.Misc.Screwdriver_Small,Uncommon,Uncommon,Rare
Airfield.Misc.Smartphone_Battery,Uncommon,Uncommon,Rare
Airfield.Misc.Thread,Uncommon,Uncommon,Rare
Airfield.tools.Aeroplane_Repair_Kit,Uncommon,Uncommon,Uncommon
Airfield.tools.Car_Battery,Uncommon,Uncommon,Rare
Airfield.tools.Car_Battery_Cables,Uncommon,Uncommon,Rare
Airfield.tools.Electrical.Batteries,Uncommon,Uncommon,Uncommon,Rare
Airfield.tools.Electrical.Electrical_Repair_Kit,Uncommon,Uncommon,Uncommon,Rare
Airfield.tools.Electrical.Electrician_Tools,Uncommon,Uncommon,Uncommon,Rare
Airfield.tools.Electrical.Wire,Uncommon,Uncommon,Uncommon,Uncommon
Airfield.tools.Electrical.Wire_Cutters_01,Uncommon,Uncommon,Uncommon,Uncommon
Airfield.tools.Smartphone_Battery,Uncommon,Uncommon,Rare
Airfield.tools.Tool_Box,Uncommon,Uncommon,VeryRare
Airfield.tools.Tool_Box_Small,Uncommon,Uncommon,Rare
