Beach.json
Beach.DivingEquipment.Diving_Mask,Uncommon,Uncommon,Rare
Beach.DivingEquipment.Diving_Mask_With_Breathing_Tube,Uncommon,Uncommon,Rare
Beach.Fishing.Floater.FishingFloater,Uncommon,Uncommon,Uncommon,Uncommon
Beach.Fishing.Floater.FishingFloater1,Uncommon,Uncommon,Uncommon,Uncommon
Beach.Fishing.Floater.FishingFloaterPack1,Uncommon,Uncommon,Uncommon,VeryRare
Beach.Fishing.Floater.FishingFloaterPack2,Uncommon,Uncommon,Uncommon,VeryRare
Beach.Fishing.Hooks.FishingHookPack1,Uncommon,Uncommon,Uncommon,Common
Beach.Fishing.Hooks.FishingHookPack2,Uncommon,Uncommon,Uncommon,Uncommon
Beach.Fishing.Hooks.FishingHookPack3,Uncommon,Uncommon,Uncommon,Rare
Beach.Fishing.Hooks.FishingHookPack4,Uncommon,Uncommon,Uncommon,VeryRare
Beach.Fishing.Nylon.FishingLine_1,Uncommon,Uncommon,Uncommon,Uncommon
Beach.Fishing.Nylon.FishingLine_2,Uncommon,Uncommon,Uncommon,Rare
Beach.Fishing.Nylon.FishingLine_3,Uncommon,Uncommon,Uncommon,VeryRare
Beach.Fishing.Nylon.FishingLine_4,Uncommon,Uncommon,Uncommon,ExtremelyRare
Beach.Fishing.Reels.FishingReel,Uncommon,Uncommon,Uncommon,Rare
Beach.Fishing.Reels.FishingReelPro,Uncommon,Uncommon,Uncommon,VeryRare
Beach.Fishing.Rods.FishingRod,Uncommon,Uncommon,Uncommon,Rare
Beach.GrillGrid,Uncommon,Rare
Beach.Paddles.Long_Paddle,Uncommon,Uncommon,Rare
Beach.Paddles.Short_Paddle_A,Uncommon,Uncommon,Rare
