Depository.json
Depository.Car.Laika_Engine_Alternator_Item,Rare,VeryRare,VeryRare
Depository.Car.Rager_Engine_Alternator_Item,Rare,VeryRare,Rare
Depository.Car.WW_Engine_Alternator_Item,Rare,VeryRare,VeryRare
Depository.Food.MRE_Cheeseburger,Rare,Rare,Uncommon
Depository.Food.MRE_Stew,Rare,Rare,Uncommon
Depository.Medical.Antibiotics_01,Rare,Uncommon,Common
Depository.Medical.Antibiotics_02,Rare,Uncommon,Uncommon
Depository.Medical.Antibiotics_03,Rare,Uncommon,Rare
Depository.Medical.Isopropyl_alcohol,Rare,Uncommon,Uncommon
Depository.Medical.Painkillers_01,Rare,Uncommon,Common
Depository.Medical.Painkillers_02,Rare,Uncommon,Uncommon
Depository.Medical.PainKillers_03,Rare,Uncommon,Rare
Depository.Medical.Syringe,Rare,Uncommon,Uncommon
Depository.MeM.MemoryModule_Level1,Rare,VeryRare,Common
Depository.MeM.MemoryModule_Level2,Rare,VeryRare,Rare
Depository.MeM.MemoryModule_Level3,Rare,VeryRare,VeryRare
Depository.MeM.MemoryModule_Level4,Rare,VeryRare,ExtremelyRare
Depository.Misc.BCULock_Item,Rare,Rare,Uncommon
Depository.Misc.DialLock_Item,Rare,Rare,Uncommon
Depository.Misc.Geiger_Counter_Analogue,Rare,Rare,Uncommon
Depository.Misc.Lock_Item_Advanced,Rare,Rare,Uncommon
Depository.Misc.Lockpick_Advanced_Item,Rare,Rare,Uncommon
Depository.Misc.Smartphone_Battery,Rare,Rare,Rare
Depository.tools.Electrician_Tools,Rare,Common,Uncommon
Depository.tools.Fuse_400A,Rare,Common,Uncommon
Depository.tools.Fuse_600A,Rare,Common,Rare
Depository.tools.Fuse_800A,Rare,Common,VeryRare
Depository.tools.Grinding_Stone_02,Rare,Common,Uncommon
Depository.tools.MetalDetector,Rare,Common,Uncommon
Depository.tools.Screwdriver_Small,Rare,Common,Uncommon
Depository.tools.Sewing_kit,Rare,Common,Uncommon
Depository.tools.Tool_Box,Rare,Common,Uncommon
Depository.tools.Weapon_Cleaning_Kit,Rare,Common,Uncommon
