Sports.json
Sports.Clothes.Bedroll,Uncommon,Uncommon,VeryRare
Sports.Clothes.Gloves.MMA_Glove_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Jerseys.Jersey_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Shoes.HighTop_Shoes,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Shoes.Sneakers_02_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.ShortPants.Short_Trousers_01_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.ShortPants.Shorts_Pants_01_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.ShortPants.Tracksuit_Pants_01_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Sweaters.Sweater_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Sweaters.Tracksuit_Top_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Underwear.F_Undershirt_Bra_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Underwear.Underpants_01,Uncommon,Uncommon,Uncommon,Rare
Sports.Clothes.Underwear.Undershirt_01,Uncommon,Uncommon,Uncommon,Rare
Sports.FoodDrink.Drink.Can01,Uncommon,Uncommon,Uncommon,Rare
Sports.FoodDrink.Drink.Energy_Drink_Red_Ghoul,Uncommon,Uncommon,Uncommon,ExtremelyRare
Sports.FoodDrink.Drink.Water_05l,Uncommon,Uncommon,Uncommon,Rare
Sports.FoodDrink.Food.Barberry,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.Blackberry,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.Blueberries,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.ChocolateCandy_01,Uncommon,Uncommon,Uncommon,VeryRare
Sports.FoodDrink.Food.ChocolateCandy_08,Uncommon,Uncommon,Uncommon,VeryRare
Sports.FoodDrink.Food.Hazelnuts,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.MeatSnack_01,Uncommon,Uncommon,Uncommon,VeryRare
Sports.FoodDrink.Food.Mulberry,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.Oak_Nuts,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.Walnut,Uncommon,Uncommon,Uncommon,Uncommon
Sports.FoodDrink.Food.Wild_Strawberry,Uncommon,Uncommon,Uncommon,Uncommon
Sports.Misc.Safety_pin,Uncommon,Uncommon,Rare
Sports.tools.2H_Baseball_Bat,Uncommon,Uncommon,Uncommon
Sports.tools.2H_Baseball_Bat_Blaze,Uncommon,Uncommon,VeryRare
Sports.tools.2H_Metal_Baseball_Bat,Uncommon,Uncommon,Rare
