Workshop.json
Workshop.Crafting.Barbed_Wire,Uncommon,Common,Uncommon
Workshop.Crafting.Bolts.Bolts,Uncommon,Common,Abundant,Common
Workshop.Crafting.Bolts.Bolts_Package_Box,Uncommon,Common,Abundant,Rare
Workshop.Crafting.Brick,Uncommon,Common,Rare
Workshop.Crafting.CementBag,Uncommon,Common,VeryRare
Workshop.Crafting.CoalBag,Uncommon,Common,Uncommon
Workshop.Crafting.ColorCan_BaronBrown,Uncommon,Common,Uncommon
Workshop.Crafting.Diary,Uncommon,Common,VeryRare
Workshop.Crafting.Duct_Tape,Uncommon,Common,Uncommon
Workshop.Crafting.Fabric.EmptyBag,Uncommon,Common,Uncommon,Rare
Workshop.Crafting.Fabric.Rag_Stripes,Uncommon,Common,Uncommon,Rare
Workshop.Crafting.Fabric.Rags,Uncommon,Common,Uncommon,Rare
Workshop.Crafting.Fluids.Break_Oil,Uncommon,Common,Rare,Uncommon
Workshop.Crafting.Fluids.Isopropyl_alcohol,Uncommon,Common,Rare,VeryRare
Workshop.Crafting.GravelBag,Uncommon,Common,VeryRare
Workshop.Crafting.Gun_Powder,Uncommon,Common,Uncommon
Workshop.Crafting.Hose,Uncommon,Common,Rare
Workshop.Crafting.Lead_Plate,Uncommon,Common,Rare
Workshop.Crafting.Locks.Lock_Item_Advanced,Uncommon,Common,Rare,ExtremelyRare
Workshop.Crafting.Locks.Lock_Item_Basic,Uncommon,Common,Rare,Rare
Workshop.Crafting.Locks.Lock_Items_Medium,Uncommon,Common,Rare,VeryRare
Workshop.Crafting.Locks.Padlock,Uncommon,Common,Rare,Abundant
Workshop.Crafting.Nails.Nails,Uncommon,Common,Abundant,Common
Workshop.Crafting.Nails.Nails_Package_Box,Uncommon,Common,Abundant,Rare
Workshop.Crafting.Needle,Uncommon,Common,VeryRare
Workshop.Crafting.Paper,Uncommon,Common,VeryRare
Workshop.Crafting.Rope1,Uncommon,Common,Uncommon
Workshop.Crafting.Rubber_band,Uncommon,Common,Uncommon
Workshop.Crafting.Rubber_sheet,Uncommon,Common,Uncommon
Workshop.Crafting.Scrap.Metal_Scrap_01,Uncommon,Common,Uncommon,Common
Workshop.Fishing.Baits.PremiumBoiliesPack,Uncommon,VeryRare,Rare,Rare
Workshop.Fishing.Floater.FishingFloater,Uncommon,VeryRare,Rare,Uncommon
Workshop.Fishing.Floater.FishingFloater1,Uncommon,VeryRare,Rare,Uncommon
Workshop.Fishing.Floater.FishingFloaterPack1,Uncommon,VeryRare,Rare,VeryRare
Workshop.Fishing.Floater.FishingFloaterPack2,Uncommon,VeryRare,Rare,VeryRare
Workshop.Fishing.Hooks.FishingHookPack1,Uncommon,VeryRare,Rare,Common
Workshop.Fishing.Hooks.FishingHookPack2,Uncommon,VeryRare,Rare,Uncommon
Workshop.Fishing.Hooks.FishingHookPack3,Uncommon,VeryRare,Rare,Rare
Workshop.Fishing.Hooks.FishingHookPack4,Uncommon,VeryRare,Rare,VeryRare
Workshop.Fishing.Nylon.FishingLine_1,Uncommon,VeryRare,Uncommon,Uncommon
Workshop.Fishing.Nylon.FishingLine_2,Uncommon,VeryRare,Uncommon,Rare
Workshop.Fishing.Nylon.FishingLine_3,Uncommon,VeryRare,Uncommon,VeryRare
Workshop.Fishing.Nylon.FishingLine_4,Uncommon,VeryRare,Uncommon,ExtremelyRare
Workshop.Fishing.Reels.FishingReel,Uncommon,VeryRare,VeryRare,Rare
Workshop.Fishing.Reels.FishingReelPro,Uncommon,VeryRare,VeryRare,VeryRare
Workshop.Fishing.Rods.FishingRod,Uncommon,VeryRare,VeryRare,Rare
Workshop.LightsFire.Candle_01,Uncommon,VeryRare,Rare
Workshop.LightsFire.Flint_And_Steel,Uncommon,VeryRare,Uncommon
Workshop.LightsFire.GasLantern,Uncommon,VeryRare,VeryRare
Workshop.LightsFire.GrillGrid,Uncommon,VeryRare,Uncommon
Workshop.LightsFire.Lighter,Uncommon,VeryRare,Rare
Workshop.LightsFire.Matches,Uncommon,VeryRare,Uncommon
Workshop.LightsFire.Portable_Electric_Stove,Uncommon,VeryRare,Uncommon
Workshop.LightsFire.PortableWorkLight,Uncommon,VeryRare,VeryRare
Workshop.Other.ammo.12Gauge.BigStash.12_Gauge_Birdshot,Uncommon,ExtremelyRare,Uncommon,Common,Rare,ExtremelyRare
Workshop.Other.ammo.12Gauge.BigStash.12_Gauge_Buckshot,Uncommon,ExtremelyRare,Uncommon,Common,Rare,Rare
Workshop.Other.ammo.12Gauge.BigStash.12_Gauge_Slug,Uncommon,ExtremelyRare,Uncommon,Common,Rare,VeryRare
Workshop.Other.ammo.12Gauge.Boxed.12_Gauge_Birdshot_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,ExtremelyRare
Workshop.Other.ammo.12Gauge.Boxed.12_Gauge_Buckshot_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,Rare
Workshop.Other.ammo.12Gauge.Boxed.12_Gauge_Slug_Ammobox,Uncommon,ExtremelyRare,Uncommon,Common,VeryRare,VeryRare
Workshop.Other.ammo.12Gauge.SmallStash.12_Gauge_Birdshot,Uncommon,ExtremelyRare,Uncommon,Common,Common,ExtremelyRare
Workshop.Other.ammo.12Gauge.SmallStash.12_Gauge_Buckshot,Uncommon,ExtremelyRare,Uncommon,Common,Common,Rare
Workshop.Other.ammo.12Gauge.SmallStash.12_Gauge_Slug,Uncommon,ExtremelyRare,Uncommon,Common,Common,VeryRare
Workshop.Other.ammo.AP.BigStash.Cal_30-06_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Rare
Workshop.Other.ammo.AP.BigStash.Cal_357_Viper_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Uncommon
Workshop.Other.ammo.AP.BigStash.Cal_45_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Common
Workshop.Other.ammo.AP.BigStash.Cal_50_AE_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,VeryRare
Workshop.Other.ammo.AP.BigStash.Cal_5_45x39mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Uncommon
Workshop.Other.ammo.AP.BigStash.Cal_7_62x39mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Rare
Workshop.Other.ammo.AP.BigStash.Cal_7_92x57mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,VeryRare
Workshop.Other.ammo.AP.BigStash.Cal_9mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Common
Workshop.Other.ammo.AP.BigStash.Cal_9x39mm_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Uncommon,Uncommon
Workshop.Other.ammo.AP.Boxed.Cal_30-06_Ammobox_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Rare
Workshop.Other.ammo.AP.Boxed.Cal_357_Ammobox_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Uncommon
Workshop.Other.ammo.AP.Boxed.Cal_45_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Common
Workshop.Other.ammo.AP.Boxed.Cal_50_AE_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.ammo.AP.Boxed.Cal_5_45x39mm_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Uncommon
Workshop.Other.ammo.AP.Boxed.Cal_7_62x39mm_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Rare
Workshop.Other.ammo.AP.Boxed.Cal_7_92x57mm_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,VeryRare
Workshop.Other.ammo.AP.Boxed.Cal_9mm_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Common
Workshop.Other.ammo.AP.Boxed.Cal_9x39mm_AP_Ammobox,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,VeryRare,Uncommon
Workshop.Other.ammo.AP.SmallStash.Cal_30-06_AP,Uncommon,ExtremelyRare,Uncommon,ExtremelyRare,Common,Rare
